lang,model,ISC,IG,LOD,AID,FLOOR,RHO,ICS
EN,Qwen3-Emb-0.6B,0.2010691909576226,0.36616910472977526,0.14889975565790203,-0.06502274301601729,0.542947054379782,0.6156103904175897,0.4010734394272676
EN,mE5-large-instruct,0.3155299375777195,0.32827343032709566,0.0907645609414553,-0.01424111832561405,0.834136644255962,0.5838981329587796,0.4596705390049549
EN,Qwen3-Emb-4B,0.3003260279806129,0.3083553740093474,0.0429372979179172,-0.01925530238101405,0.5086778629567685,0.5418351350163103,0.4775885837312047
