lang,cohort,ISC,IG,LOD,AID,FLOOR,RHO,ICS
EN,modern,0.17398350558789044,0.3476710241584382,0.07713507327104914,-0.020682813451853965,0.7227289733501335,0.5780773465941795,0.4300834496224739
EN,paper-era,0.0991025837657602,0.4457872329806391,0.22714310222673664,-0.10790253998422751,0.5750067794261274,0.6152503037996704,0.34060388095489724
PT,modern,0.09489840071285026,0.3284814628961889,0.1584918784834701,-0.026240291134080468,0.7299196220004537,0.4922307493546476,0.42279447201434256
PT,paper-era,0.15013067604993888,0.3040315697327903,0.20303326595275825,-0.08490621126880042,0.607751613377961,0.4205361723012651,0.4282206083572662
